time,pm25_previsto
2026-06-23 00:00:00+00:00,10.515088959949008
2026-06-23 01:00:00+00:00,12.008246911844541
2026-06-23 02:00:00+00:00,8.962146101951861
2026-06-23 03:00:00+00:00,9.661303034299983
2026-06-23 04:00:00+00:00,8.281110581032177
2026-06-23 05:00:00+00:00,8.347244912290227
2026-06-23 06:00:00+00:00,8.216132101240127
2026-06-23 07:00:00+00:00,8.343339774365411
2026-06-23 08:00:00+00:00,8.809426542110373
2026-06-23 09:00:00+00:00,9.105865182962583
2026-06-23 10:00:00+00:00,8.589061403580248
2026-06-23 11:00:00+00:00,7.5647657458941575
2026-06-23 12:00:00+00:00,13.6376030701764
2026-06-23 13:00:00+00:00,24.483203108652635
2026-06-23 14:00:00+00:00,13.0995259626989
2026-06-23 15:00:00+00:00,17.52771600018536
2026-06-23 16:00:00+00:00,18.10927837569429
2026-06-23 17:00:00+00:00,15.663542331952943
2026-06-23 18:00:00+00:00,19.66743391169471
2026-06-23 19:00:00+00:00,15.158083260238834
2026-06-23 20:00:00+00:00,13.671092644975886
2026-06-23 21:00:00+00:00,10.16228207347445
2026-06-23 22:00:00+00:00,9.374077312487636
2026-06-23 23:00:00+00:00,9.226237510948925
