time,MP2.5,temperature_2m,relative_humidity_2m
2016-03-05 09:00:00+00:00,10.0,18.251,95.39043
2016-03-05 10:00:00+00:00,10.0,18.951,94.81726
2016-03-05 11:00:00+00:00,16.0,20.751,86.9621
2016-03-05 12:00:00+00:00,9.0,21.751,83.33858
2016-03-05 13:00:00+00:00,10.0,22.651001,80.88807
2016-03-05 14:00:00+00:00,4.0,23.601,79.028725
2016-03-05 15:00:00+00:00,10.0,25.051,74.499115
2016-03-05 16:00:00+00:00,8.0,26.001,67.0048
2016-03-05 17:00:00+00:00,10.0,26.101,65.78555
2016-03-05 18:00:00+00:00,10.0,23.601,76.84967
2016-03-05 19:00:00+00:00,10.0,23.701,69.76119
2016-03-05 20:00:00+00:00,7.0,23.101,73.94188
2016-03-05 21:00:00+00:00,30.0,22.751,76.71908
2016-03-05 22:00:00+00:00,29.0,21.801,83.604965
2016-03-05 23:00:00+00:00,27.0,20.951,89.180046
2016-03-06 00:00:00+00:00,31.0,20.201,93.108925
2016-03-06 01:00:00+00:00,45.0,19.901001,94.558365
2016-03-06 02:00:00+00:00,34.0,19.501,96.03138
2016-03-06 03:00:00+00:00,24.0,19.201,96.62521
2016-03-06 04:00:00+00:00,16.0,18.801,97.5281
2016-03-06 05:00:00+00:00,20.0,18.501,98.13676
2016-03-06 06:00:00+00:00,20.0,18.601,98.13816
2016-03-06 07:00:00+00:00,20.0,18.851,97.52903
2016-03-06 08:00:00+00:00,16.0,18.301,98.752525
2016-03-06 09:00:00+00:00,14.0,18.051,99.06133
2016-03-06 10:00:00+00:00,11.0,18.801,98.44871
2016-03-06 11:00:00+00:00,2.0,21.651001,90.34679
2016-03-06 12:00:00+00:00,6.0,23.701,78.55419
2016-03-06 13:00:00+00:00,9.0,24.901001,71.97691
2016-03-06 14:00:00+00:00,6.0,25.901001,69.95939
2016-03-06 15:00:00+00:00,9.0,27.101,64.77822
2016-03-06 16:00:00+00:00,6.0,26.451,66.68076
2016-03-06 17:00:00+00:00,5.0,25.051,74.039825
2016-03-06 18:00:00+00:00,28.0,25.051,75.19271
2016-03-06 19:00:00+00:00,47.0,24.701,76.77977
2016-03-06 20:00:00+00:00,20.0,23.651001,82.02452
2016-03-06 21:00:00+00:00,34.0,23.051,83.74618
2016-03-06 22:00:00+00:00,46.0,22.151001,88.99726
2016-03-06 23:00:00+00:00,32.0,21.451,93.171776
2016-03-07 00:00:00+00:00,19.0,20.901001,95.77616
2016-03-07 01:00:00+00:00,12.0,20.501,97.25817
2016-03-07 02:00:00+00:00,10.0,20.251,97.85767
2016-03-07 03:00:00+00:00,7.0,19.751,98.459816
2016-03-07 04:00:00+00:00,6.0,19.351,98.45516
2016-03-07 05:00:00+00:00,7.0,18.851,99.06703
2016-03-07 06:00:00+00:00,10.0,18.501,99.687325
2016-03-07 07:00:00+00:00,8.0,19.401001,98.1494
2016-03-07 08:00:00+00:00,8.0,19.001,99.377884
2016-03-07 09:00:00+00:00,10.0,18.901001,97.83576
2016-03-07 10:00:00+00:00,10.0,19.051,98.1445
2016-03-07 11:00:00+00:00,18.0,20.751,96.963295
2016-03-07 12:00:00+00:00,17.0,22.551,88.20924
2016-03-07 13:00:00+00:00,19.0,24.351,80.36219
2016-03-07 14:00:00+00:00,20.0,25.551,78.81689
2016-03-07 15:00:00+00:00,8.0,26.401001,79.1762
2016-03-07 16:00:00+00:00,14.0,26.651001,73.178246
2016-03-07 17:00:00+00:00,30.0,26.051,72.85085
