time,MP2.5,temperature_2m,relative_humidity_2m,mes,hora,dia_semana,MP2.5_imputado_media
2016-03-04 10:00:00+00:00,7.0,19.351,94.24044,3,10,4,0
2016-03-04 11:00:00+00:00,6.0,19.601,93.3704,3,11,4,0
2016-03-04 12:00:00+00:00,13.0,20.351,88.576675,3,12,4,0
2016-03-04 13:00:00+00:00,9.0,21.501,83.04931,3,13,4,0
2016-03-04 14:00:00+00:00,11.0,22.501,80.61675,3,14,4,0
2016-03-04 15:00:00+00:00,6.0,23.751,77.592415,3,15,4,0
2016-03-04 16:00:00+00:00,7.0,23.901001,75.474625,3,16,4,0
2016-03-04 17:00:00+00:00,12.0,24.751,73.30415,3,17,4,0
2016-03-04 18:00:00+00:00,9.0,23.701,75.67797,3,18,4,0
2016-03-04 19:00:00+00:00,6.0,25.651001,69.04977,3,19,4,0
2016-03-04 20:00:00+00:00,17.0,24.651001,69.94138,3,20,4,0
2016-03-04 21:00:00+00:00,18.0,23.051,77.24639,3,21,4,0
2016-03-04 22:00:00+00:00,19.0,21.001,87.53036,3,22,4,0
2016-03-04 23:00:00+00:00,20.0,20.551,89.98849,3,23,4,0
2016-03-05 00:00:00+00:00,21.0,19.801,92.2188,3,0,5,0
2016-03-05 01:00:00+00:00,30.0,19.401001,92.77668,3,1,5,0
2016-03-05 02:00:00+00:00,23.0,19.101,93.0529,3,2,5,0
2016-03-05 03:00:00+00:00,18.0,18.851,94.21904,3,3,5,0
2016-03-05 04:00:00+00:00,19.0,18.701,95.40592,3,4,5,0
2016-03-05 05:00:00+00:00,11.0,18.551,96.30545,3,5,5,0
2016-03-05 06:00:00+00:00,12.0,18.701,96.30961,3,6,5,0
2016-03-05 07:00:00+00:00,12.0,18.501,94.50151,3,7,5,0
2016-03-05 08:00:00+00:00,9.0,18.351,95.093544,3,8,5,0
2016-03-05 09:00:00+00:00,10.0,18.251,95.39043,3,9,5,0
2016-03-05 10:00:00+00:00,10.0,18.951,94.81726,3,10,5,0
2016-03-05 11:00:00+00:00,16.0,20.751,86.9621,3,11,5,0
2016-03-05 12:00:00+00:00,9.0,21.751,83.33858,3,12,5,0
2016-03-05 13:00:00+00:00,10.0,22.651001,80.88807,3,13,5,0
2016-03-05 14:00:00+00:00,4.0,23.601,79.028725,3,14,5,0
2016-03-05 15:00:00+00:00,10.0,25.051,74.499115,3,15,5,0
2016-03-05 16:00:00+00:00,8.0,26.001,67.0048,3,16,5,0
2016-03-05 17:00:00+00:00,10.0,26.101,65.78555,3,17,5,0
2016-03-05 18:00:00+00:00,10.0,23.601,76.84967,3,18,5,0
2016-03-05 19:00:00+00:00,10.0,23.701,69.76119,3,19,5,0
2016-03-05 20:00:00+00:00,7.0,23.101,73.94188,3,20,5,0
2016-03-05 21:00:00+00:00,30.0,22.751,76.71908,3,21,5,0
2016-03-05 22:00:00+00:00,29.0,21.801,83.604965,3,22,5,0
2016-03-05 23:00:00+00:00,27.0,20.951,89.180046,3,23,5,0
2016-03-06 00:00:00+00:00,31.0,20.201,93.108925,3,0,6,0
2016-03-06 01:00:00+00:00,45.0,19.901001,94.558365,3,1,6,0
2016-03-06 02:00:00+00:00,34.0,19.501,96.03138,3,2,6,0
2016-03-06 03:00:00+00:00,24.0,19.201,96.62521,3,3,6,0
2016-03-06 04:00:00+00:00,16.0,18.801,97.5281,3,4,6,0
2016-03-06 05:00:00+00:00,20.0,18.501,98.13676,3,5,6,0
2016-03-06 06:00:00+00:00,20.0,18.601,98.13816,3,6,6,0
2016-03-06 07:00:00+00:00,20.0,18.851,97.52903,3,7,6,0
2016-03-06 08:00:00+00:00,16.0,18.301,98.752525,3,8,6,0
2016-03-06 09:00:00+00:00,14.0,18.051,99.06133,3,9,6,0
2016-03-06 10:00:00+00:00,11.0,18.801,98.44871,3,10,6,0
2016-03-06 11:00:00+00:00,2.0,21.651001,90.34679,3,11,6,0
2016-03-06 12:00:00+00:00,6.0,23.701,78.55419,3,12,6,0
2016-03-06 13:00:00+00:00,9.0,24.901001,71.97691,3,13,6,0
2016-03-06 14:00:00+00:00,6.0,25.901001,69.95939,3,14,6,0
2016-03-06 15:00:00+00:00,9.0,27.101,64.77822,3,15,6,0
2016-03-06 16:00:00+00:00,6.0,26.451,66.68076,3,16,6,0
2016-03-06 17:00:00+00:00,5.0,25.051,74.039825,3,17,6,0
2016-03-06 18:00:00+00:00,28.0,25.051,75.19271,3,18,6,0
2016-03-06 19:00:00+00:00,47.0,24.701,76.77977,3,19,6,0
2016-03-06 20:00:00+00:00,20.0,23.651001,82.02452,3,20,6,0
2016-03-06 21:00:00+00:00,34.0,23.051,83.74618,3,21,6,0
2016-03-06 22:00:00+00:00,46.0,22.151001,88.99726,3,22,6,0
2016-03-06 23:00:00+00:00,32.0,21.451,93.171776,3,23,6,0
2016-03-07 00:00:00+00:00,19.0,20.901001,95.77616,3,0,0,0
2016-03-07 01:00:00+00:00,12.0,20.501,97.25817,3,1,0,0
2016-03-07 02:00:00+00:00,10.0,20.251,97.85767,3,2,0,0
2016-03-07 03:00:00+00:00,7.0,19.751,98.459816,3,3,0,0
2016-03-07 04:00:00+00:00,6.0,19.351,98.45516,3,4,0,0
2016-03-07 05:00:00+00:00,7.0,18.851,99.06703,3,5,0,0
2016-03-07 06:00:00+00:00,10.0,18.501,99.687325,3,6,0,0
2016-03-07 07:00:00+00:00,8.0,19.401001,98.1494,3,7,0,0
2016-03-07 08:00:00+00:00,8.0,19.001,99.377884,3,8,0,0
2016-03-07 09:00:00+00:00,10.0,18.901001,97.83576,3,9,0,0
2016-03-07 10:00:00+00:00,10.0,19.051,98.1445,3,10,0,0
2016-03-07 11:00:00+00:00,18.0,20.751,96.963295,3,11,0,0
2016-03-07 12:00:00+00:00,17.0,22.551,88.20924,3,12,0,0
2016-03-07 13:00:00+00:00,19.0,24.351,80.36219,3,13,0,0
2016-03-07 14:00:00+00:00,20.0,25.551,78.81689,3,14,0,0
2016-03-07 15:00:00+00:00,8.0,26.401001,79.1762,3,15,0,0
2016-03-07 16:00:00+00:00,14.0,26.651001,73.178246,3,16,0,0
2016-03-07 17:00:00+00:00,30.0,26.051,72.85085,3,17,0,0
