time,temperature_2m,relative_humidity_2m,precipitation,wind_speed_10m
2026-06-01 21:00:00-03:00,14.3,93.10362,0.0,7.7983837
2026-06-01 22:00:00-03:00,14.45,91.605354,0.1,7.0015144
2026-06-01 23:00:00-03:00,13.85,94.30607,0.0,6.0908127
2026-06-02 00:00:00-03:00,13.75,94.61066,0.0,5.2478566
2026-06-02 01:00:00-03:00,12.95,99.023705,0.0,3.244996
2026-06-02 02:00:00-03:00,12.5,100.0,0.0,2.5772078
2026-06-02 03:00:00-03:00,12.4,99.019516,0.0,4.6938252
2026-06-02 04:00:00-03:00,12.1,99.343864,0.0,4.2021422
2026-06-02 05:00:00-03:00,11.8,100.0,0.0,3.7971036
2026-06-02 06:00:00-03:00,11.9,99.34284,0.0,5.8048253
2026-06-02 07:00:00-03:00,12.1,99.67146,0.0,6.0721655
2026-06-02 08:00:00-03:00,13.55,91.24824,0.0,8.0599
2026-06-02 09:00:00-03:00,15.65,81.003395,0.0,10.739832
2026-06-02 10:00:00-03:00,16.9,72.86166,0.0,9.957108
2026-06-02 11:00:00-03:00,18.1,64.71039,0.0,9.600937
2026-06-02 12:00:00-03:00,19.15,58.814674,0.0,9.292255
2026-06-02 13:00:00-03:00,19.7,56.086506,0.0,8.574123
2026-06-02 14:00:00-03:00,19.55,55.862408,0.0,9.418662
2026-06-02 15:00:00-03:00,18.65,69.00319,0.0,12.033103
2026-06-02 16:00:00-03:00,17.65,73.95692,0.0,11.207801
2026-06-02 17:00:00-03:00,16.7,80.09142,0.0,11.35285
2026-06-02 18:00:00-03:00,15.35,89.02119,0.0,10.261579
2026-06-02 19:00:00-03:00,15.15,90.7601,0.0,9.82114
2026-06-02 20:00:00-03:00,15.15,89.87883,0.0,9.354806
2026-06-02 21:00:00-03:00,15.15,92.5455,0.0,8.777654
2026-06-02 22:00:00-03:00,15.15,93.14747,0.1,8.0899935
2026-06-02 23:00:00-03:00,15.2,92.248695,0.1,9.252069
2026-06-03 00:00:00-03:00,15.1,93.1449,0.0,8.6193495
2026-06-03 01:00:00-03:00,15.0,92.83802,0.0,7.9383874
2026-06-03 02:00:00-03:00,14.85,94.0434,0.1,6.3690495
2026-06-03 03:00:00-03:00,14.5,94.94928,0.0,5.6060677
2026-06-03 04:00:00-03:00,14.6,93.422615,0.0,6.4096174
2026-06-03 05:00:00-03:00,14.6,92.81653,0.0,6.048107
2026-06-03 06:00:00-03:00,14.6,92.81653,0.0,6.9153743
2026-06-03 07:00:00-03:00,14.6,93.11914,0.0,6.7565966
2026-06-03 08:00:00-03:00,15.25,89.30335,0.0,7.538541
2026-06-03 09:00:00-03:00,16.8,82.75294,0.0,8.139901
2026-06-03 10:00:00-03:00,18.2,73.3318,0.1,7.7588143
2026-06-03 11:00:00-03:00,19.25,66.684875,0.0,7.3997297
2026-06-03 12:00:00-03:00,20.2,60.642532,0.0,5.7628117
2026-06-03 13:00:00-03:00,21.25,54.644554,0.0,5.0432134
2026-06-03 14:00:00-03:00,20.85,58.836376,0.0,7.674842
2026-06-03 15:00:00-03:00,19.35,74.00914,0.4,13.229693
2026-06-03 16:00:00-03:00,18.65,76.32043,0.0,10.630672
2026-06-03 17:00:00-03:00,17.65,82.057556,0.0,11.35285
2026-06-03 18:00:00-03:00,16.5,87.970345,0.0,9.826088
2026-06-03 19:00:00-03:00,16.1,91.118164,0.0,8.604301
2026-06-03 20:00:00-03:00,16.25,89.0932,0.0,7.386582
2026-06-03 21:00:00-03:00,16.15,89.08525,0.0,8.435069
2026-06-03 22:00:00-03:00,15.9,90.81115,0.0,7.382195
2026-06-03 23:00:00-03:00,15.6,92.870056,0.0,5.8603754
2026-06-04 00:00:00-03:00,15.1,95.27976,0.0,6.6818557
2026-06-04 01:00:00-03:00,15.05,94.663445,0.0,6.7853074
2026-06-04 02:00:00-03:00,14.95,94.35322,0.0,6.830519
2026-06-04 03:00:00-03:00,14.7,95.265434,0.0,5.8852015
2026-06-04 04:00:00-03:00,14.7,94.34255,0.0,6.424764
2026-06-04 05:00:00-03:00,14.95,91.33898,0.0,6.8612823
2026-06-04 06:00:00-03:00,14.9,91.33578,0.0,6.0077944
2026-06-04 07:00:00-03:00,14.55,93.42014,0.0,6.1437774
2026-06-04 08:00:00-03:00,15.0,90.16085,0.0,7.7400002
2026-06-04 09:00:00-03:00,15.85,86.49697,0.0,7.771331
2026-06-04 10:00:00-03:00,17.4,76.36936,0.0,8.849339
2026-06-04 11:00:00-03:00,19.0,67.95382,0.0,9.582359
2026-06-04 12:00:00-03:00,20.1,61.82484,0.0,8.849339
2026-06-04 13:00:00-03:00,21.0,57.72517,0.0,7.989243
2026-06-04 14:00:00-03:00,21.0,62.84291,0.0,9.686609
2026-06-04 15:00:00-03:00,19.55,73.330795,0.3,13.896187
2026-06-04 16:00:00-03:00,18.5,77.7904,0.0,11.500296
2026-06-04 17:00:00-03:00,17.45,83.63733,0.0,10.883676
2026-06-04 18:00:00-03:00,16.35,89.38918,0.0,9.085988
2026-06-04 19:00:00-03:00,15.9,92.28899,0.0,7.562142
2026-06-04 20:00:00-03:00,15.55,93.46935,0.0,7.256032
2026-06-04 21:00:00-03:00,15.3,93.15516,0.0,8.714677
2026-06-04 22:00:00-03:00,14.95,94.04791,0.0,7.388775
2026-06-04 23:00:00-03:00,14.75,94.65132,0.0,7.5685663
2026-06-05 00:00:00-03:00,14.35,94.94353,0.0,6.6185193
2026-06-05 01:00:00-03:00,14.1,96.17879,0.0,6.5520988
2026-06-05 02:00:00-03:00,14.1,94.31684,0.0,6.6794305
2026-06-05 03:00:00-03:00,13.7,95.229324,0.0,5.318383
2026-06-05 04:00:00-03:00,13.35,95.84249,0.0,5.2939587
