time,MP2.5,temperature_2m,relative_humidity_2m,precipitation,wind_speed_10m,month_sin,month_cos,weekday_sin,weekday_cos,hour_sin,hour_cos,temperature_2m_lag1,temperature_2m_lag3,temperature_2m_lag6,temperature_2m_lag12,temperature_2m_lag24,relative_humidity_2m_lag1,relative_humidity_2m_lag3,relative_humidity_2m_lag6,relative_humidity_2m_lag12,relative_humidity_2m_lag24,wind_speed_10m_lag1,wind_speed_10m_lag3,wind_speed_10m_lag6,wind_speed_10m_lag12,wind_speed_10m_lag24,pm25_lag1,pm25_lag2,pm25_lag3,pm25_lag6,pm25_lag12,pm25_lag24,pm25_lag48,pm25_lag168,is_winter,pm25_mean_6h,pm25_std_6h,pm25_max_6h,pm25_mean_12h,pm25_std_12h,pm25_max_12h,pm25_mean_24h,pm25_std_24h,pm25_max_24h,pm25_mean_48h,pm25_std_48h,pm25_max_48h
2026-05-24 14:00:00+00:00,21.7,21.55,75.57036,0.0,3.3043609,0.49999999999999994,-0.8660254037844387,-0.7818314824680299,0.6234898018587334,-0.4999999999999997,-0.8660254037844388,19.95,16.4,15.75,16.0,,82.865974,95.937805,96.22648,98.7304,,3.710795,0.9,2.6999998,5.3999996,,40.0,35.2,34.7,35.2,45.0,,,,0,36.85,2.2589820716419977,40.0,40.43333333333333,4.711558964800065,49.2,,,,,,
2026-05-24 15:00:00+00:00,16.5,22.35,72.88748,0.1,7.0038276,0.49999999999999994,-0.8660254037844387,-0.7818314824680299,0.6234898018587334,-0.7071067811865471,-0.7071067811865479,21.55,17.95,15.6,15.85,,75.57036,93.88226,97.15466,97.78497,,3.3043609,3.244996,4.6938252,7.8954163,,21.7,40.0,35.2,39.2,39.4,,,,0,34.6,6.662431988395828,40.0,38.49166666666667,6.9349520983248745,49.2,,,,,,
2026-05-24 16:00:00+00:00,11.5,22.85,72.06081,0.2,9.473541,0.49999999999999994,-0.8660254037844387,-0.7818314824680299,0.6234898018587334,-0.8660254037844384,-0.5000000000000004,22.35,19.95,15.85,15.4,,72.88748,82.865974,95.613205,98.724525,,7.0038276,3.710795,0.9693296,3.4949677,,16.5,21.7,40.0,36.8,43.3,,,,0,30.816666666666666,9.407532443030247,40.0,36.583333333333336,9.38149371062115,49.2,,,,,,
2026-05-24 17:00:00+00:00,15.0,21.2,79.68716,1.0,7.674842,0.49999999999999994,-0.8660254037844387,-0.7818314824680299,0.6234898018587334,-0.9659258262890683,-0.25881904510252063,22.85,21.55,16.4,15.4,,72.06081,75.57036,95.937805,98.724525,,9.473541,3.3043609,0.9,2.0991426,,11.5,16.5,21.7,34.7,49.2,,,,0,26.600000000000005,11.603103033240721,40.0,33.93333333333333,11.55196428266114,49.2,,,,,,
2026-05-24 18:00:00+00:00,11.6,20.8,81.92786,0.5,5.771239,0.49999999999999994,-0.8660254037844387,-0.7818314824680299,0.6234898018587334,-1.0,-1.8369701987210297e-16,21.2,22.35,17.95,16.5,,79.68716,72.88748,93.88226,98.735245,,7.674842,7.0038276,3.244996,5.692099,,15.0,11.5,16.5,35.2,46.3,,,,0,23.316666666666666,11.639831041156338,40.0,31.083333333333332,11.661345106674855,46.3,,,,,,
2026-05-24 19:00:00+00:00,22.5,20.5,82.931305,0.3,2.7416782,0.49999999999999994,-0.8660254037844387,-0.7818314824680299,0.6234898018587334,-0.9659258262890684,0.2588190451025203,20.8,22.85,19.95,16.1,,81.92786,72.06081,82.865974,98.731346,,5.771239,9.473541,3.710795,3.710795,,11.6,15.0,11.5,40.0,40.9,,,,0,19.383333333333333,10.776533146920052,40.0,28.191666666666666,11.845862978144291,40.9,,,,,,
2026-05-24 20:00:00+00:00,28.7,19.7,87.69031,0.4,4.503598,0.49999999999999994,-0.8660254037844387,-0.7818314824680299,0.6234898018587334,-0.8660254037844386,0.5000000000000001,20.5,21.2,21.55,15.75,,82.931305,79.68716,75.57036,96.22648,,2.7416782,7.674842,3.3043609,2.6999998,,22.5,11.6,15.0,21.7,35.2,,,,0,16.466666666666665,4.7810737984961715,22.5,26.65833333333333,11.225981093657309,40.0,,,,,,
2026-05-24 21:00:00+00:00,22.1,18.65,91.86212,0.3,6.1305785,0.49999999999999994,-0.8660254037844387,-0.7818314824680299,0.6234898018587334,-0.7071067811865477,0.7071067811865474,19.7,20.8,22.35,15.6,,87.69031,81.92786,72.88748,97.15466,,4.503598,5.771239,7.0038276,4.6938252,,28.7,22.5,11.6,16.5,39.2,,,,0,17.633333333333333,6.758599460440499,28.7,26.116666666666664,10.92926291562188,40.0,,,,,,
2026-05-24 22:00:00+00:00,20.6,18.0,94.480934,0.1,2.4149535,0.49999999999999994,-0.8660254037844387,-0.7818314824680299,0.6234898018587334,-0.5000000000000004,0.8660254037844384,18.65,20.5,22.85,15.85,,91.86212,82.931305,72.06081,95.613205,,6.1305785,2.7416782,9.473541,0.9693296,,22.1,28.7,22.5,11.5,36.8,,,,0,18.566666666666666,6.954614774857527,28.7,24.691666666666666,10.155738040709545,40.0,,,,,,
2026-05-24 23:00:00+00:00,33.2,17.8,95.073296,0.3,2.16,0.49999999999999994,-0.8660254037844387,-0.7818314824680299,0.6234898018587334,-0.25881904510252157,0.9659258262890681,18.0,19.7,21.2,16.4,,94.480934,87.69031,79.68716,95.937805,,2.4149535,4.503598,7.674842,0.9,,20.6,22.1,28.7,15.0,34.7,,,,0,20.083333333333332,6.037024653475138,28.7,23.341666666666665,9.452220358041252,40.0,,,,,,
2026-05-25 00:00:00+00:00,34.3,17.35,96.271904,0.3,2.6999998,0.49999999999999994,-0.8660254037844387,0.0,1.0,0.0,1.0,17.8,18.65,20.8,17.95,,95.073296,91.86212,81.92786,93.88226,,2.16,6.1305785,5.771239,3.244996,,33.2,20.6,22.1,11.6,35.2,,,,0,23.116666666666664,7.392270738187733,33.2,23.21666666666667,9.29700179758196,40.0,,,,,,
2026-05-25 01:00:00+00:00,21.4,17.3,96.88346,2.1,5.5916004,0.49999999999999994,-0.8660254037844387,0.0,1.0,0.25881904510252074,0.9659258262890683,17.35,18.0,20.5,19.95,16.1,96.271904,94.480934,82.931305,82.865974,97.16548,2.6999998,2.4149535,2.7416782,3.710795,3.2846913,34.3,33.2,20.6,22.5,40.0,43.0,,,0,26.900000000000002,5.996332212277762,34.3,23.14166666666667,9.194608927699596,40.0,31.912499999999998,11.470275858098164,49.2,,,
2026-05-25 02:00:00+00:00,0.3,16.7,97.1784,0.2,11.328566,0.49999999999999994,-0.8660254037844387,0.0,1.0,0.49999999999999994,0.8660254037844387,17.3,17.8,19.7,21.55,16.0,96.88346,95.073296,87.69031,75.57036,98.7304,5.5916004,2.16,4.503598,3.3043609,5.3999996,21.4,34.3,33.2,28.7,21.7,45.0,,,0,26.71666666666667,6.1720066969071405,34.3,21.59166666666667,7.50726415890069,34.3,31.0125,11.409733163819617,49.2,,,
