location_id,location_name,parameter,value,unit,datetimeUtc,datetimeLocal,timezone,latitude,longitude,country_iso,isMobile,isMonitor,owner_name,provider
6139516,"São Paulo","pm1",0,"µg/m³","2026-05-25T08:00:00Z","2026-05-25T05:00:00-03:00","America/Sao_Paulo",-23.6473149,-46.6643635,,,,"AirGradient","AirGradient"
6139516,"São Paulo","pm1",1.4,"µg/m³","2026-05-25T09:00:00Z","2026-05-25T06:00:00-03:00","America/Sao_Paulo",-23.6473149,-46.6643635,,,,"AirGradient","AirGradient"
6139516,"São Paulo","pm1",1.9,"µg/m³","2026-05-25T10:00:00Z","2026-05-25T07:00:00-03:00","America/Sao_Paulo",-23.6473149,-46.6643635,,,,"AirGradient","AirGradient"
6139516,"São Paulo","pm1",6.2,"µg/m³","2026-05-25T11:00:00Z","2026-05-25T08:00:00-03:00","America/Sao_Paulo",-23.6473149,-46.6643635,,,,"AirGradient","AirGradient"
6139516,"São Paulo","pm1",15.6,"µg/m³","2026-05-25T12:00:00Z","2026-05-25T09:00:00-03:00","America/Sao_Paulo",-23.6473149,-46.6643635,,,,"AirGradient","AirGradient"
6139516,"São Paulo","pm1",22.3,"µg/m³","2026-05-25T13:00:00Z","2026-05-25T10:00:00-03:00","America/Sao_Paulo",-23.6473149,-46.6643635,,,,"AirGradient","AirGradient"
6139516,"São Paulo","pm1",21.4,"µg/m³","2026-05-25T14:00:00Z","2026-05-25T11:00:00-03:00","America/Sao_Paulo",-23.6473149,-46.6643635,,,,"AirGradient","AirGradient"
6139516,"São Paulo","pm1",20.4,"µg/m³","2026-05-25T15:00:00Z","2026-05-25T12:00:00-03:00","America/Sao_Paulo",-23.6473149,-46.6643635,,,,"AirGradient","AirGradient"
6139516,"São Paulo","pm1",23.9,"µg/m³","2026-05-25T16:00:00Z","2026-05-25T13:00:00-03:00","America/Sao_Paulo",-23.6473149,-46.6643635,,,,"AirGradient","AirGradient"
6139516,"São Paulo","pm1",25.2,"µg/m³","2026-05-25T17:00:00Z","2026-05-25T14:00:00-03:00","America/Sao_Paulo",-23.6473149,-46.6643635,,,,"AirGradient","AirGradient"
6139516,"São Paulo","pm1",27.8,"µg/m³","2026-05-25T18:00:00Z","2026-05-25T15:00:00-03:00","America/Sao_Paulo",-23.6473149,-46.6643635,,,,"AirGradient","AirGradient"
6139516,"São Paulo","pm1",24.7,"µg/m³","2026-05-25T19:00:00Z","2026-05-25T16:00:00-03:00","America/Sao_Paulo",-23.6473149,-46.6643635,,,,"AirGradient","AirGradient"
6139516,"São Paulo","pm1",22.6,"µg/m³","2026-05-25T20:00:00Z","2026-05-25T17:00:00-03:00","America/Sao_Paulo",-23.6473149,-46.6643635,,,,"AirGradient","AirGradient"
6139516,"São Paulo","pm1",23.2,"µg/m³","2026-05-25T21:00:00Z","2026-05-25T18:00:00-03:00","America/Sao_Paulo",-23.6473149,-46.6643635,,,,"AirGradient","AirGradient"
6139516,"São Paulo","pm1",18.6,"µg/m³","2026-05-25T22:00:00Z","2026-05-25T19:00:00-03:00","America/Sao_Paulo",-23.6473149,-46.6643635,,,,"AirGradient","AirGradient"
6139516,"São Paulo","pm1",14.8,"µg/m³","2026-05-25T23:00:00Z","2026-05-25T20:00:00-03:00","America/Sao_Paulo",-23.6473149,-46.6643635,,,,"AirGradient","AirGradient"
6139516,"São Paulo","pm1",22.2,"µg/m³","2026-05-26T00:00:00Z","2026-05-25T21:00:00-03:00","America/Sao_Paulo",-23.6473149,-46.6643635,,,,"AirGradient","AirGradient"
6139516,"São Paulo","pm1",13,"µg/m³","2026-05-26T01:00:00Z","2026-05-25T22:00:00-03:00","America/Sao_Paulo",-23.6473149,-46.6643635,,,,"AirGradient","AirGradient"
6139516,"São Paulo","pm1",15.2,"µg/m³","2026-05-26T02:00:00Z","2026-05-25T23:00:00-03:00","America/Sao_Paulo",-23.6473149,-46.6643635,,,,"AirGradient","AirGradient"
6139516,"São Paulo","pm1",20.9,"µg/m³","2026-05-26T03:00:00Z","2026-05-26T00:00:00-03:00","America/Sao_Paulo",-23.6473149,-46.6643635,,,,"AirGradient","AirGradient"
6139516,"São Paulo","pm1",19.4,"µg/m³","2026-05-26T04:00:00Z","2026-05-26T01:00:00-03:00","America/Sao_Paulo",-23.6473149,-46.6643635,,,,"AirGradient","AirGradient"
6139516,"São Paulo","pm1",16.7,"µg/m³","2026-05-26T05:00:00Z","2026-05-26T02:00:00-03:00","America/Sao_Paulo",-23.6473149,-46.6643635,,,,"AirGradient","AirGradient"
6139516,"São Paulo","pm1",18.5,"µg/m³","2026-05-26T06:00:00Z","2026-05-26T03:00:00-03:00","America/Sao_Paulo",-23.6473149,-46.6643635,,,,"AirGradient","AirGradient"
6139516,"São Paulo","pm1",18,"µg/m³","2026-05-26T07:00:00Z","2026-05-26T04:00:00-03:00","America/Sao_Paulo",-23.6473149,-46.6643635,,,,"AirGradient","AirGradient"
6139516,"São Paulo","pm1",19.8,"µg/m³","2026-05-26T08:00:00Z","2026-05-26T05:00:00-03:00","America/Sao_Paulo",-23.6473149,-46.6643635,,,,"AirGradient","AirGradient"
6139516,"São Paulo","pm1",13.7,"µg/m³","2026-05-26T09:00:00Z","2026-05-26T06:00:00-03:00","America/Sao_Paulo",-23.6473149,-46.6643635,,,,"AirGradient","AirGradient"
6139516,"São Paulo","pm1",14.8,"µg/m³","2026-05-26T10:00:00Z","2026-05-26T07:00:00-03:00","America/Sao_Paulo",-23.6473149,-46.6643635,,,,"AirGradient","AirGradient"
6139516,"São Paulo","pm1",14.5,"µg/m³","2026-05-26T11:00:00Z","2026-05-26T08:00:00-03:00","America/Sao_Paulo",-23.6473149,-46.6643635,,,,"AirGradient","AirGradient"
6139516,"São Paulo","pm1",17.2,"µg/m³","2026-05-26T12:00:00Z","2026-05-26T09:00:00-03:00","America/Sao_Paulo",-23.6473149,-46.6643635,,,,"AirGradient","AirGradient"
6139516,"São Paulo","pm1",21.7,"µg/m³","2026-05-26T13:00:00Z","2026-05-26T10:00:00-03:00","America/Sao_Paulo",-23.6473149,-46.6643635,,,,"AirGradient","AirGradient"
6139516,"São Paulo","pm1",20,"µg/m³","2026-05-26T14:00:00Z","2026-05-26T11:00:00-03:00","America/Sao_Paulo",-23.6473149,-46.6643635,,,,"AirGradient","AirGradient"
6139516,"São Paulo","pm1",16.6,"µg/m³","2026-05-26T15:00:00Z","2026-05-26T12:00:00-03:00","America/Sao_Paulo",-23.6473149,-46.6643635,,,,"AirGradient","AirGradient"
6139516,"São Paulo","pm1",11.9,"µg/m³","2026-05-26T16:00:00Z","2026-05-26T13:00:00-03:00","America/Sao_Paulo",-23.6473149,-46.6643635,,,,"AirGradient","AirGradient"
6139516,"São Paulo","pm1",4.2,"µg/m³","2026-05-26T17:00:00Z","2026-05-26T14:00:00-03:00","America/Sao_Paulo",-23.6473149,-46.6643635,,,,"AirGradient","AirGradient"
6139516,"São Paulo","pm1",4.8,"µg/m³","2026-05-26T18:00:00Z","2026-05-26T15:00:00-03:00","America/Sao_Paulo",-23.6473149,-46.6643635,,,,"AirGradient","AirGradient"
6139516,"São Paulo","pm1",2.7,"µg/m³","2026-05-26T19:00:00Z","2026-05-26T16:00:00-03:00","America/Sao_Paulo",-23.6473149,-46.6643635,,,,"AirGradient","AirGradient"
6139516,"São Paulo","pm1",3,"µg/m³","2026-05-26T20:00:00Z","2026-05-26T17:00:00-03:00","America/Sao_Paulo",-23.6473149,-46.6643635,,,,"AirGradient","AirGradient"
6139516,"São Paulo","pm1",7.6,"µg/m³","2026-05-26T21:00:00Z","2026-05-26T18:00:00-03:00","America/Sao_Paulo",-23.6473149,-46.6643635,,,,"AirGradient","AirGradient"
6139516,"São Paulo","pm1",9.2,"µg/m³","2026-05-26T22:00:00Z","2026-05-26T19:00:00-03:00","America/Sao_Paulo",-23.6473149,-46.6643635,,,,"AirGradient","AirGradient"
6139516,"São Paulo","pm1",19.9,"µg/m³","2026-05-26T23:00:00Z","2026-05-26T20:00:00-03:00","America/Sao_Paulo",-23.6473149,-46.6643635,,,,"AirGradient","AirGradient"
6139516,"São Paulo","pm1",23.4,"µg/m³","2026-05-27T00:00:00Z","2026-05-26T21:00:00-03:00","America/Sao_Paulo",-23.6473149,-46.6643635,,,,"AirGradient","AirGradient"
6139516,"São Paulo","pm1",25.9,"µg/m³","2026-05-27T01:00:00Z","2026-05-26T22:00:00-03:00","America/Sao_Paulo",-23.6473149,-46.6643635,,,,"AirGradient","AirGradient"
6139516,"São Paulo","pm1",28.4,"µg/m³","2026-05-27T02:00:00Z","2026-05-26T23:00:00-03:00","America/Sao_Paulo",-23.6473149,-46.6643635,,,,"AirGradient","AirGradient"
6139516,"São Paulo","pm1",17,"µg/m³","2026-05-27T03:00:00Z","2026-05-27T00:00:00-03:00","America/Sao_Paulo",-23.6473149,-46.6643635,,,,"AirGradient","AirGradient"
6139516,"São Paulo","pm1",16.2,"µg/m³","2026-05-27T04:00:00Z","2026-05-27T01:00:00-03:00","America/Sao_Paulo",-23.6473149,-46.6643635,,,,"AirGradient","AirGradient"
6139516,"São Paulo","pm1",22,"µg/m³","2026-05-27T05:00:00Z","2026-05-27T02:00:00-03:00","America/Sao_Paulo",-23.6473149,-46.6643635,,,,"AirGradient","AirGradient"
6139516,"São Paulo","pm1",21.9,"µg/m³","2026-05-27T06:00:00Z","2026-05-27T03:00:00-03:00","America/Sao_Paulo",-23.6473149,-46.6643635,,,,"AirGradient","AirGradient"
6139516,"São Paulo","pm1",22.3,"µg/m³","2026-05-27T07:00:00Z","2026-05-27T04:00:00-03:00","America/Sao_Paulo",-23.6473149,-46.6643635,,,,"AirGradient","AirGradient"
