time,MP2.5,temperature_2m,relative_humidity_2m,precipitation,wind_speed_10m,mes,hora,dia_semana,target_24h,PM2.5_lag_1h,PM2.5_lag_3h,PM2.5_lag_6h,PM2.5_lag_12h,PM2.5_lag_24h,PM2.5_rolling_mean_3h,PM2.5_rolling_mean_6h,PM2.5_rolling_mean_12h,PM2.5_rolling_mean_24h,PM2.5_rolling_std_24h,is_weekend
2016-03-02 00:00:00+00:00,6.0,17.951,97.205025,0.0,10.233123,3,0,2,22.0,11.0,16.0,16.0,18.0,3.0,14.666666666666666,15.166666666666666,15.5,13.375,4.470312701833499,0
2016-03-02 01:00:00+00:00,14.0,17.901001,97.819305,0.6,8.669949,3,1,2,27.0,6.0,17.0,15.0,17.0,1.0,11.333333333333334,13.5,14.5,13.5,4.201449025401055,0
2016-03-02 02:00:00+00:00,9.0,17.801,98.12683,0.0,10.086427,3,2,2,28.0,14.0,11.0,16.0,20.0,18.0,10.333333333333334,13.333333333333334,14.25,14.041666666666666,3.250139350412756,0
2016-03-02 03:00:00+00:00,7.0,17.801,97.50934,0.0,9.585739,3,3,2,22.0,9.0,6.0,16.0,15.0,17.0,9.666666666666666,12.166666666666666,13.333333333333334,13.666666666666666,3.2925035626624504,0
2016-03-02 04:00:00+00:00,18.0,17.651001,97.506485,0.0,8.161764,3,4,2,20.0,7.0,14.0,17.0,12.0,10.0,10.0,10.666666666666666,12.666666666666666,13.25,3.4797551138225105,0
2016-03-02 05:00:00+00:00,11.0,17.551,97.8135,0.0,7.42159,3,5,2,15.0,18.0,9.0,11.0,13.0,14.0,11.333333333333334,10.833333333333334,13.166666666666666,13.583333333333334,3.5375828970673164,0
2016-03-02 06:00:00+00:00,6.0,17.551,97.8135,0.0,6.12,3,6,2,13.0,11.0,7.0,6.0,16.0,11.0,12.0,10.833333333333334,13.0,13.458333333333334,3.5750240700517355,0
2016-03-02 07:00:00+00:00,5.0,17.751,98.7473,1.0,6.6087217,3,7,2,7.0,6.0,18.0,14.0,15.0,13.0,11.666666666666666,10.833333333333334,12.166666666666666,13.25,3.8589252840429658,0
2016-03-02 08:00:00+00:00,7.0,17.801,99.05953,0.7,5.904439,3,8,2,8.0,5.0,11.0,9.0,16.0,12.0,7.333333333333333,9.333333333333334,11.333333333333334,12.916666666666666,4.210924370963104,0
2016-03-02 09:00:00+00:00,15.0,17.801,99.372154,0.5,6.3690495,3,9,2,14.0,7.0,6.0,7.0,16.0,14.0,6.0,9.0,10.583333333333334,12.708333333333334,4.3785958307744455,0
